Feature,Importance
FM,32.161463199784464
MSTV,30.966161056978304
ASTV,19.502313044045486
AC,13.102545007951031
Mean,1.123179900747839
DP,0.7683109199190651
Median,0.6243283508626961
Mode,0.5229740591236924
ALTV,0.3230030343090125
MLTV,0.22985660424813686
Variance,0.1605905078778249
Max,0.10679101929127643
Width,0.08574362896324472
Min,0.07568982736706455
LB,0.056618043604809175
UC,0.05445684034760279
Nmax,0.047482439703095805
Nzeros,0.04151342118815401
DL,0.024013871780711925
Tendency,0.021177581983440958
DS,0.001787639923033379
DR,0.0
